timestamp,camera,line,in,out
2025-11-14T14:22:16+07:00,cam1,2,1,0
2025-11-14T14:23:35+07:00,cam1,2,0,1
2025-11-14T14:25:52+07:00,cam1,2,1,0
2025-11-14T14:28:44+07:00,cam1,2,1,0
2025-11-14T14:29:06+07:00,cam1,1,1,0
2025-11-14T14:29:09+07:00,cam1,1,1,0
2025-11-14T14:29:49+07:00,cam1,1,1,0
2025-11-14T14:30:20+07:00,cam1,2,1,0
2025-11-14T14:31:29+07:00,cam1,2,1,0
2025-11-14T14:31:31+07:00,cam1,2,0,1
2025-11-14T14:31:33+07:00,cam1,2,0,1
2025-11-14T14:31:33+07:00,cam1,2,0,1
2025-11-14T14:32:03+07:00,cam1,3,1,0
2025-11-14T14:35:45+07:00,cam1,3,0,1
2025-11-14T14:37:12+07:00,cam1,3,0,1
2025-11-14T14:37:12+07:00,cam1,3,1,0
2025-11-14T14:38:22+07:00,cam1,2,1,0
2025-11-14T14:38:46+07:00,cam1,1,0,1
2025-11-14T14:38:50+07:00,cam1,1,0,1
2025-11-14T14:41:52+07:00,cam1,1,1,0
2025-11-14T14:43:10+07:00,cam1,3,0,1
2025-11-14T14:43:20+07:00,cam1,2,1,0
2025-11-14T14:44:56+07:00,cam1,2,1,0
2025-11-14T14:44:57+07:00,cam1,2,0,1
2025-11-14T14:46:47+07:00,cam1,1,0,1
2025-11-14T14:48:56+07:00,cam1,2,0,1
2025-11-14T14:48:58+07:00,cam1,2,0,1
2025-11-14T14:49:03+07:00,cam1,2,1,0
2025-11-14T14:49:06+07:00,cam1,2,1,0
2025-11-14T14:49:06+07:00,cam1,2,1,0
2025-11-14T14:49:57+07:00,cam1,2,1,0
2025-11-14T14:49:57+07:00,cam1,2,0,1
2025-11-14T14:49:58+07:00,cam1,2,0,1
2025-11-14T14:49:59+07:00,cam1,2,0,1
2025-11-14T14:51:30+07:00,cam1,2,0,1
2025-11-14T14:56:19+07:00,cam1,2,0,1
2025-11-14T15:00:21+07:00,cam1,1,1,0
2025-11-14T15:00:24+07:00,cam1,1,0,1
2025-11-14T15:02:32+07:00,cam1,2,0,1
2025-11-14T15:02:34+07:00,cam1,2,0,1
2025-11-14T15:02:44+07:00,cam1,1,0,1
2025-11-14T15:04:38+07:00,cam1,3,0,1
2025-11-14T15:04:39+07:00,cam1,3,1,0
2025-11-14T15:04:40+07:00,cam1,3,0,1
2025-11-14T15:05:20+07:00,cam1,1,0,1
2025-11-14T15:05:25+07:00,cam1,1,0,1
2025-11-14T15:08:49+07:00,cam1,2,0,1
2025-11-14T15:11:57+07:00,cam1,2,1,0
2025-11-14T15:12:55+07:00,cam1,3,0,1
2025-11-14T15:12:55+07:00,cam1,3,0,1
2025-11-14T15:14:36+07:00,cam1,1,0,1
2025-11-14T15:16:56+07:00,cam1,2,0,1
2025-11-14T15:16:57+07:00,cam1,2,0,1
2025-11-14T15:20:17+07:00,cam1,1,0,1
2025-11-14T15:21:22+07:00,cam1,2,0,1
2025-11-14T15:24:09+07:00,cam1,2,0,1
2025-11-14T15:27:08+07:00,cam1,1,1,0
2025-11-14T15:27:10+07:00,cam1,1,1,0
2025-11-14T15:30:04+07:00,cam1,1,1,0
2025-11-14T15:32:44+07:00,cam1,3,1,0
2025-11-14T15:32:45+07:00,cam1,1,1,0
